Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
11/1/15,walking,walking,2015-11-01T08:32:16-05:00,2015-11-01T08:32:22-05:00,6,0.002,8,0
11/1/15,walking,walking,2015-11-01T08:34:20-05:00,2015-11-01T08:40:46-05:00,386,0.168,494,0
11/1/15,walking,walking,2015-11-01T08:40:47-05:00,2015-11-01T08:41:13-05:00,26,0.011,35,0
11/1/15,walking,walking,2015-11-01T09:09:04-05:00,2015-11-01T09:14:06-05:00,302,0.209,449,0
11/1/15,walking,walking,2015-11-01T10:33:09-05:00,2015-11-01T10:33:55-05:00,46,0.019,61,0
11/1/15,walking,walking,2015-11-01T12:26:27-05:00,2015-11-01T12:36:56-05:00,629,0.434,931,0
11/1/15,walking,walking,2015-11-01T12:42:59-05:00,2015-11-01T12:56:12-05:00,793,0.692,1305,0
11/1/15,walking,walking,2015-11-01T13:00:21-05:00,2015-11-01T13:01:12-05:00,51,0.022,71,0
11/1/15,walking,walking,2015-11-01T13:02:06-05:00,2015-11-01T13:08:13-05:00,367,0.217,443,0
11/1/15,walking,walking,2015-11-01T13:08:12-05:00,2015-11-01T13:16:06-05:00,474,0.302,648,0
11/1/15,walking,walking,2015-11-01T13:23:59-05:00,2015-11-01T13:29:43-05:00,344,0.218,468,0
11/1/15,walking,walking,2015-11-01T13:47:20-05:00,2015-11-01T13:53:09-05:00,349,0.219,470,0
11/1/15,walking,walking,2015-11-01T13:55:17-05:00,2015-11-01T14:06:27-05:00,670,0.428,947,0
11/1/15,walking,walking,2015-11-01T14:31:41-05:00,2015-11-01T14:32:05-05:00,24,0.009,31,0
11/1/15,walking,walking,2015-11-01T14:33:19-05:00,2015-11-01T14:52:34-05:00,1155,0.820,1654,0
11/1/15,walking,walking,2015-11-01T14:54:19-05:00,2015-11-01T14:54:32-05:00,13,0.006,17,0
11/1/15,walking,walking,2015-11-01T15:13:41-05:00,2015-11-01T15:19:36-05:00,355,0.158,479,0
11/1/15,walking,walking,2015-11-01T15:19:36-05:00,2015-11-01T15:19:58-05:00,22,0.009,29,0
11/1/15,transport,transport,2015-11-01T15:49:38-05:00,2015-11-01T15:52:27-05:00,169,4.608,0,0
11/1/15,walking,walking,2015-11-01T15:52:28-05:00,2015-11-01T15:56:58-05:00,270,0.301,404,0
11/1/15,transport,transport,2015-11-01T15:56:58-05:00,2015-11-01T16:36:12-05:00,2354,13.052,0,0
11/1/15,walking,walking,2015-11-01T16:36:12-05:00,2015-11-01T16:38:48-05:00,156,0.048,119,0
11/1/15,walking,walking,2015-11-01T16:38:48-05:00,2015-11-01T16:38:52-05:00,4,0.002,6,0
11/1/15,walking,walking,2015-11-01T17:03:46-05:00,2015-11-01T17:04:17-05:00,31,0.013,41,0
11/1/15,transport,transport,2015-11-01T17:05:01-05:00,2015-11-01T17:07:16-05:00,135,0.252,0,0
11/1/15,walking,walking,2015-11-01T17:08:46-05:00,2015-11-01T17:10:02-05:00,76,0.032,101,0
11/1/15,walking,walking,2015-11-01T18:18:06-05:00,2015-11-01T18:19:27-05:00,81,0.034,108,0
11/1/15,transport,transport,2015-11-01T18:47:08-05:00,2015-11-01T18:55:48-05:00,520,7.496,0,0
11/1/15,walking,walking,2015-11-01T18:55:47-05:00,2015-11-01T19:00:33-05:00,286,0.255,407,0
11/1/15,walking,walking,2015-11-01T19:00:39-05:00,2015-11-01T19:00:48-05:00,9,0.004,12,0
