Date,Type,Name,Start,End,Duration
10/27/15,move,transport,2015-10-27T18:53:15-04:00,2015-10-27T18:57:15-04:00,240
10/27/15,move,walking,2015-10-27T18:57:16-04:00,2015-10-27T19:06:19-04:00,543
10/27/15,place,Wendy's,2015-10-27T19:06:19-04:00,2015-10-27T19:19:16-04:00,777
10/27/15,move,walking,2015-10-27T19:19:16-04:00,2015-10-27T19:24:53-04:00,337
10/27/15,place,Party City,2015-10-27T19:24:53-04:00,2015-10-27T19:55:52-04:00,1859
10/27/15,move,walking,2015-10-27T19:55:52-04:00,2015-10-27T20:09:00-04:00,788
10/27/15,place,Cornell Tech,2015-10-27T20:09:00-04:00,2015-10-27T22:26:23-04:00,8243
10/27/15,move,walking,2015-10-27T22:26:23-04:00,2015-10-27T22:31:07-04:00,284
10/27/15,move,transport,2015-10-27T22:31:07-04:00,2015-10-27T22:39:37-04:00,510
10/27/15,move,walking,2015-10-27T22:39:37-04:00,2015-10-27T22:53:11-04:00,814
10/27/15,place,The Blind Barber,2015-10-27T22:53:11-04:00,2015-10-28T00:00:00-04:00,4009
10/28/15,place,The Blind Barber,2015-10-28T00:00:00-04:00,2015-10-28T01:45:10-04:00,6310
10/28/15,move,walking,2015-10-28T01:45:10-04:00,2015-10-28T01:55:47-04:00,637
10/28/15,place,Horus Café & Kebab House,2015-10-28T01:55:47-04:00,2015-10-28T02:17:44-04:00,1317
10/28/15,move,transport,2015-10-28T02:17:44-04:00,2015-10-28T02:26:49-04:00,545
10/28/15,move,walking,2015-10-28T02:26:49-04:00,2015-10-28T02:31:54-04:00,305
10/28/15,place,Home,2015-10-28T02:31:54-04:00,2015-10-28T02:33:33-04:00,99
10/28/15,place,Cornell Tech,2015-10-28T10:40:16-04:00,2015-10-29T00:00:00-04:00,47984
10/29/15,place,Cornell Tech,2015-10-29T00:00:00-04:00,2015-10-29T00:24:00-04:00,1440
10/29/15,move,walking,2015-10-29T00:24:00-04:00,2015-10-29T00:29:18-04:00,318
10/29/15,place,Home,2015-10-29T00:29:19-04:00,2015-10-29T00:32:25-04:00,186
10/29/15,move,walking,2015-10-29T09:41:54-04:00,2015-10-29T09:48:39-04:00,405
10/29/15,place,New York Doctors Walk-In Urgent Care,2015-10-29T09:48:39-04:00,2015-10-29T09:58:08-04:00,569
10/29/15,move,walking,2015-10-29T09:58:08-04:00,2015-10-29T10:10:00-04:00,712
10/29/15,place,Cornell Tech,2015-10-29T10:10:00-04:00,2015-10-29T11:35:49-04:00,5149
10/29/15,move,walking,2015-10-29T11:35:49-04:00,2015-10-29T11:46:33-04:00,644
10/29/15,place,Chelsea Market,2015-10-29T11:46:34-04:00,2015-10-29T11:50:27-04:00,233
10/29/15,move,walking,2015-10-29T11:50:27-04:00,2015-10-29T11:57:38-04:00,431
10/29/15,place,Cornell Tech,2015-10-29T11:57:38-04:00,2015-10-29T15:52:27-04:00,14089
