Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
10/28/15,walking,walking,2015-10-28T01:58:42-04:00,2015-10-28T01:59:12-04:00,30,0.016,50,0
10/28/15,walking,walking,2015-10-28T02:00:12-04:00,2015-10-28T02:00:42-04:00,30,0.016,50,0
10/28/15,transport,transport,2015-10-28T02:17:44-04:00,2015-10-28T02:26:49-04:00,545,2.141,0,0
10/28/15,walking,walking,2015-10-28T02:26:49-04:00,2015-10-28T02:31:54-04:00,305,0.241,500,0
10/28/15,walking,walking,2015-10-28T10:40:16-04:00,2015-10-28T10:44:53-04:00,277,0.236,506,0
10/28/15,walking,walking,2015-10-28T11:00:00-04:00,2015-10-28T11:00:33-04:00,33,0.021,65,0
10/28/15,walking,walking,2015-10-28T12:35:02-04:00,2015-10-28T12:37:35-04:00,153,0.134,288,0
10/28/15,walking,walking,2015-10-28T13:05:40-04:00,2015-10-28T13:10:40-04:00,300,0.183,392,0
10/28/15,walking,walking,2015-10-28T14:02:12-04:00,2015-10-28T14:04:12-04:00,120,0.089,191,0
10/28/15,walking,walking,2015-10-28T15:59:46-04:00,2015-10-28T16:02:47-04:00,181,0.083,181,0
10/28/15,walking,walking,2015-10-28T17:28:35-04:00,2015-10-28T17:29:38-04:00,63,0.034,109,0
10/28/15,walking,walking,2015-10-28T18:40:09-04:00,2015-10-28T18:41:39-04:00,90,0.043,141,0
10/28/15,walking,walking,2015-10-28T19:25:42-04:00,2015-10-28T19:34:01-04:00,499,0.399,856,0
10/28/15,walking,walking,2015-10-28T20:05:26-04:00,2015-10-28T20:06:56-04:00,90,0.047,151,0
10/28/15,walking,walking,2015-10-28T21:10:21-04:00,2015-10-28T21:13:24-04:00,183,0.149,318,0
10/29/15,walking,walking,2015-10-29T00:16:10-04:00,2015-10-29T00:17:10-04:00,60,0.031,101,0
10/29/15,walking,walking,2015-10-29T00:24:00-04:00,2015-10-29T00:29:18-04:00,318,0.236,662,0
10/29/15,walking,walking,2015-10-29T09:41:54-04:00,2015-10-29T09:48:39-04:00,405,0.281,657,0
10/29/15,walking,walking,2015-10-29T09:55:29-04:00,2015-10-29T09:55:31-04:00,2,0.002,6,0
10/29/15,walking,walking,2015-10-29T09:58:08-04:00,2015-10-29T10:10:00-04:00,712,0.595,1077,0
10/29/15,walking,walking,2015-10-29T10:10:25-04:00,2015-10-29T10:11:25-04:00,60,0.047,151,0
10/29/15,walking,walking,2015-10-29T11:35:49-04:00,2015-10-29T11:46:33-04:00,644,0.345,1110,0
10/29/15,walking,walking,2015-10-29T11:50:27-04:00,2015-10-29T11:57:38-04:00,431,0.287,752,0
10/29/15,walking,walking,2015-10-29T12:39:06-04:00,2015-10-29T12:40:06-04:00,60,0.034,111,0
10/29/15,walking,walking,2015-10-29T13:32:36-04:00,2015-10-29T13:34:39-04:00,123,0.116,248,0
10/29/15,walking,walking,2015-10-29T14:16:23-04:00,2015-10-29T14:20:23-04:00,240,0.197,423,0
10/29/15,walking,walking,2015-10-29T15:19:15-04:00,2015-10-29T15:23:08-04:00,233,0.169,363,0
10/29/15,walking,walking,2015-10-29T17:01:24-04:00,2015-10-29T17:03:54-04:00,150,0.131,282,0
10/29/15,walking,walking,2015-10-29T18:32:35-04:00,2015-10-29T18:36:35-04:00,240,0.202,433,0
10/29/15,walking,walking,2015-10-29T19:01:12-04:00,2015-10-29T19:06:12-04:00,300,0.234,503,0
10/29/15,walking,walking,2015-10-29T20:20:41-04:00,2015-10-29T20:33:28-04:00,767,0.638,1370,0
10/29/15,running,running,2015-10-29T20:36:11-04:00,2015-10-29T20:55:12-04:00,1141,1.547,2767,0
10/29/15,walking,walking,2015-10-29T21:00:00-04:00,2015-10-29T21:17:44-04:00,1064,0.772,1658,0
10/29/15,walking,walking,2015-10-29T21:34:25-04:00,2015-10-29T21:40:26-04:00,361,0.302,495,0
10/29/15,walking,walking,2015-10-29T21:43:07-04:00,2015-10-29T21:43:29-04:00,22,0.010,32,0
10/29/15,walking,walking,2015-10-29T22:49:33-04:00,2015-10-29T22:50:03-04:00,30,0.019,60,0
10/30/15,walking,walking,2015-10-30T07:13:16-04:00,2015-10-30T07:16:57-04:00,221,0.188,402,0
10/30/15,walking,walking,2015-10-30T07:25:10-04:00,2015-10-30T07:39:04-04:00,834,0.538,1541,0
10/30/15,transport,transport,2015-10-30T07:39:03-04:00,2015-10-30T07:54:46-04:00,943,3.891,0,0
10/30/15,walking,walking,2015-10-30T07:54:46-04:00,2015-10-30T08:00:47-04:00,361,0.473,664,0
10/30/15,walking,walking,2015-10-30T08:02:46-04:00,2015-10-30T08:04:46-04:00,120,0.098,211,0
10/30/15,walking,walking,2015-10-30T08:38:14-04:00,2015-10-30T08:42:48-04:00,274,0.237,551,0
10/30/15,walking,walking,2015-10-30T08:42:49-04:00,2015-10-30T08:45:19-04:00,150,0.112,242,0
10/30/15,walking,walking,2015-10-30T09:23:51-04:00,2015-10-30T09:25:21-04:00,90,0.053,171,0
10/30/15,walking,walking,2015-10-30T11:19:23-04:00,2015-10-30T11:21:53-04:00,150,0.126,271,0
10/30/15,walking,walking,2015-10-30T11:40:23-04:00,2015-10-30T11:45:55-04:00,332,0.243,687,0
10/30/15,walking,walking,2015-10-30T12:05:08-04:00,2015-10-30T12:05:38-04:00,30,0.016,50,0
10/30/15,walking,walking,2015-10-30T12:07:34-04:00,2015-10-30T12:17:38-04:00,604,0.727,1093,0
10/30/15,walking,walking,2015-10-30T12:32:08-04:00,2015-10-30T12:35:07-04:00,179,0.209,280,0
10/30/15,transport,transport,2015-10-30T12:35:07-04:00,2015-10-30T12:52:18-04:00,1031,1.593,0,0
10/30/15,walking,walking,2015-10-30T12:52:18-04:00,2015-10-30T13:01:19-04:00,541,0.293,825,0
10/30/15,transport,transport,2015-10-30T13:01:19-04:00,2015-10-30T13:14:50-04:00,811,2.209,0,0
10/30/15,walking,walking,2015-10-30T13:14:49-04:00,2015-10-30T13:18:19-04:00,210,0.134,432,0
10/30/15,transport,transport,2015-10-30T13:18:20-04:00,2015-10-30T13:26:20-04:00,480,0.838,0,0
10/30/15,walking,walking,2015-10-30T13:26:20-04:00,2015-10-30T13:33:52-04:00,452,0.222,717,0
10/30/15,walking,walking,2015-10-30T17:06:59-04:00,2015-10-30T17:07:29-04:00,30,0.016,51,0
10/30/15,walking,walking,2015-10-30T17:10:16-04:00,2015-10-30T17:46:34-04:00,2178,1.510,3222,0
10/30/15,walking,walking,2015-10-30T17:47:59-04:00,2015-10-30T17:48:59-04:00,60,0.040,131,0
10/30/15,walking,walking,2015-10-30T17:55:27-04:00,2015-10-30T18:14:07-04:00,1120,0.696,1672,0
10/30/15,walking,walking,2015-10-30T18:22:01-04:00,2015-10-30T18:23:31-04:00,90,0.050,161,0
10/30/15,walking,walking,2015-10-30T18:44:06-04:00,2015-10-30T19:03:10-04:00,1144,0.755,1684,0
10/30/15,walking,walking,2015-10-30T19:04:09-04:00,2015-10-30T19:06:09-04:00,120,0.057,181,0
10/31/15,walking,walking,2015-10-31T12:11:51-04:00,2015-10-31T12:15:32-04:00,221,0.203,435,0
10/31/15,walking,walking,2015-10-31T12:18:30-04:00,2015-10-31T12:24:07-04:00,337,0.302,636,0
10/31/15,transport,transport,2015-10-31T12:24:07-04:00,2015-10-31T12:37:38-04:00,811,3.447,0,0
10/31/15,walking,walking,2015-10-31T12:37:38-04:00,2015-10-31T12:44:08-04:00,390,0.247,603,0
10/31/15,walking,walking,2015-10-31T12:44:08-04:00,2015-10-31T12:52:30-04:00,502,0.334,718,0
10/31/15,walking,walking,2015-10-31T13:00:00-04:00,2015-10-31T13:04:09-04:00,249,0.163,349,0
10/31/15,walking,walking,2015-10-31T14:04:36-04:00,2015-10-31T14:11:06-04:00,390,0.337,724,0
10/31/15,walking,walking,2015-10-31T16:27:44-04:00,2015-10-31T16:29:44-04:00,120,0.072,231,0
10/31/15,walking,walking,2015-10-31T16:38:39-04:00,2015-10-31T16:42:47-04:00,248,0.224,416,0
10/31/15,walking,walking,2015-10-31T16:44:45-04:00,2015-10-31T16:45:15-04:00,30,0.019,60,0
10/31/15,transport,transport,2015-10-31T16:47:13-04:00,2015-10-31T16:59:15-04:00,722,3.480,0,0
10/31/15,walking,walking,2015-10-31T16:59:15-04:00,2015-10-31T17:06:18-04:00,423,0.323,737,0
10/31/15,walking,walking,2015-10-31T17:13:15-04:00,2015-10-31T17:15:45-04:00,150,0.103,221,0
10/31/15,walking,walking,2015-10-31T18:24:53-04:00,2015-10-31T18:26:23-04:00,90,0.053,171,0
10/31/15,walking,walking,2015-10-31T19:26:29-04:00,2015-10-31T19:34:59-04:00,510,0.324,694,0
10/31/15,walking,walking,2015-10-31T21:30:53-04:00,2015-10-31T21:31:23-04:00,30,0.009,30,0
11/1/15,walking,walking,2015-11-01T01:02:55-04:00,2015-11-01T01:05:25-04:00,150,0.099,212,0
11/1/15,walking,walking,2015-11-01T01:06:55-04:00,2015-11-01T01:10:04-04:00,189,0.214,369,0
11/1/15,walking,walking,2015-11-01T09:23:36-05:00,2015-11-01T09:41:09-05:00,1053,0.940,1827,0
11/1/15,walking,walking,2015-11-01T10:16:54-05:00,2015-11-01T10:17:24-05:00,30,0.016,50,0
11/1/15,walking,walking,2015-11-01T10:25:31-05:00,2015-11-01T10:47:42-05:00,1331,1.116,2240,0
11/1/15,walking,walking,2015-11-01T10:48:56-05:00,2015-11-01T10:49:26-05:00,30,0.019,60,0
11/1/15,walking,walking,2015-11-01T11:00:32-05:00,2015-11-01T11:02:02-05:00,90,0.050,161,0
11/1/15,walking,walking,2015-11-01T12:00:29-05:00,2015-11-01T12:25:15-05:00,1486,1.316,2642,0
11/1/15,walking,walking,2015-11-01T12:26:43-05:00,2015-11-01T12:27:13-05:00,30,0.016,50,0
11/1/15,walking,walking,2015-11-01T12:28:41-05:00,2015-11-01T12:40:15-05:00,694,0.324,1042,0
11/1/15,walking,walking,2015-11-01T20:21:25-05:00,2015-11-01T20:30:37-05:00,552,0.342,884,0
11/1/15,walking,walking,2015-11-01T20:31:06-05:00,2015-11-01T20:36:06-05:00,300,0.230,493,0
11/1/15,walking,walking,2015-11-01T21:02:07-05:00,2015-11-01T21:06:07-05:00,240,0.136,292,0
11/1/15,walking,walking,2015-11-01T22:12:33-05:00,2015-11-01T22:13:03-05:00,30,0.009,30,0
